date,tag,asset,downloads
2026-08-31,v1.2.1,ErdtreeKeeper-v1.2.1-win-x64.zip,1
2026-08-31,v1.2.1,SHA256SUMS.txt,0
2026-08-31,v1.3.0,ErdtreeKeeper-v1.3.0-win-x64.zip,1
2026-08-31,v1.3.0,SHA256SUMS.txt,1
2026-08-31,v1.3.1,ErdtreeKeeper-v1.3.1-win-x64.zip,3
2026-08-31,v1.3.1,SHA256SUMS.txt,1
2026-08-31,v1.4.0,ErdtreeKeeper-v1.4.0-win-x64.zip,1
2026-08-31,v1.4.0,SHA256SUMS.txt,1
2026-09-01,v1.1.0,ErdtreeKeeper-v1.1.0-win-x64.zip,0
2026-09-01,v1.1.0,SHA256SUMS.txt,0
2026-09-01,v1.2.0,ErdtreeKeeper-v1.2.0-win-x64.zip,0
2026-09-01,v1.2.0,SHA256SUMS.txt,0
2026-09-01,v1.2.1,ErdtreeKeeper-v1.2.1-win-x64.zip,1
2026-09-01,v1.2.1,SHA256SUMS.txt,0
2026-09-01,v1.3.0,ErdtreeKeeper-v1.3.0-win-x64.zip,1
2026-09-01,v1.3.0,SHA256SUMS.txt,1
2026-09-01,v1.3.1,ErdtreeKeeper-v1.3.1-win-x64.zip,3
2026-09-01,v1.3.1,SHA256SUMS.txt,1
2026-09-01,v1.4.0,ErdtreeKeeper-v1.4.0-win-x64.zip,2
2026-09-01,v1.4.0,SHA256SUMS.txt,1
2026-09-02,v1.1.0,ErdtreeKeeper-v1.1.0-win-x64.zip,0
2026-09-02,v1.1.0,SHA256SUMS.txt,0
2026-09-02,v1.2.0,ErdtreeKeeper-v1.2.0-win-x64.zip,0
2026-09-02,v1.2.0,SHA256SUMS.txt,0
2026-09-02,v1.2.1,ErdtreeKeeper-v1.2.1-win-x64.zip,1
2026-09-02,v1.2.1,SHA256SUMS.txt,0
2026-09-02,v1.3.0,ErdtreeKeeper-v1.3.0-win-x64.zip,1
2026-09-02,v1.3.0,SHA256SUMS.txt,1
2026-09-02,v1.3.1,ErdtreeKeeper-v1.3.1-win-x64.zip,3
2026-09-02,v1.3.1,SHA256SUMS.txt,1
2026-09-02,v1.4.0,ErdtreeKeeper-v1.4.0-win-x64.zip,3
2026-09-02,v1.4.0,SHA256SUMS.txt,1
2026-09-02,v1.4.1,ErdtreeKeeper-v1.4.1-win-x64.zip,1
2026-09-02,v1.4.1,SHA256SUMS.txt,1
